label 2370, frequency 56
label 2371, frequency 16
label 2372, frequency 8
label 2373, frequency 3
label 2376, frequency 10
label 2377, frequency 4
label 2379, frequency 113
label 2381, frequency 28
label 2384, frequency 8
label 2389, frequency 5
label 2392, frequency 93
label 2394, frequency 5
label 2398, frequency 6
label 2399, frequency 93
label 2400, frequency 18
label 2401, frequency 31
label 2409, frequency 7
label 2411, frequency 436
label 2412, frequency 11
label 2414, frequency 8
label 2418, frequency 85
label 2423, frequency 39
label 2426, frequency 15
label 2427, frequency 7
label 2428, frequency 37
label 2429, frequency 4
label 2432, frequency 48
label 2433, frequency 16
label 2435, frequency 29
label 2437, frequency 49
label 2439, frequency 84
label 2440, frequency 10
label 2443, frequency 21
label 2444, frequency 107
label 2452, frequency 38
label 2453, frequency 28
label 2454, frequency 10
label 2456, frequency 30
label 2457, frequency 13
label 2460, frequency 4
label 2462, frequency 6
label 2463, frequency 12
label 2472, frequency 101
label 2473, frequency 39
label 2474, frequency 4
label 2476, frequency 18
label 2481, frequency 132
label 2484, frequency 26
label 2490, frequency 3
label 2491, frequency 94
label 2492, frequency 29
label 2495, frequency 152
label 2496, frequency 70
label 2497, frequency 13
label 2500, frequency 27
label 2504, frequency 33
label 2505, frequency 21
label 2507, frequency 12
label 2508, frequency 6
label 2515, frequency 4
label 2516, frequency 14
label 2520, frequency 3
label 2525, frequency 6
label 2533, frequency 6
label 2544, frequency 6
label 2554, frequency 95
label 2556, frequency 11
label 2557, frequency 187
label 2559, frequency 63
label 2564, frequency 23
label 2566, frequency 62
label 2570, frequency 339
label 2571, frequency 306
label 2572, frequency 51
label 2579, frequency 909
label 2582, frequency 26
label 2583, frequency 13
label 2587, frequency 9
label 2601, frequency 9
label 2602, frequency 4
label 2603, frequency 30
label 2606, frequency 10
label 2611, frequency 47
label 2612, frequency 93
label 2613, frequency 30
label 2620, frequency 14
label 2621, frequency 20
label 2622, frequency 42
label 2623, frequency 41
label 2627, frequency 8
label 2628, frequency 10
label 2629, frequency 6
label 2636, frequency 222
label 2638, frequency 3
label 2639, frequency 27
label 2641, frequency 24
label 2642, frequency 201
label 2646, frequency 3
label 2652, frequency 5
label 2660, frequency 12
label 2663, frequency 41
label 2664, frequency 18
label 2669, frequency 213
label 2675, frequency 886
label 2678, frequency 120
label 2680, frequency 3
label 2683, frequency 21
label 2690, frequency 71
label 2693, frequency 53
label 2694, frequency 60
label 2696, frequency 294
label 2698, frequency 4
label 2701, frequency 181
label 2704, frequency 7
label 2706, frequency 25
label 2709, frequency 11
label 2710, frequency 48
label 2714, frequency 14
label 2715, frequency 15
label 2716, frequency 12
label 2721, frequency 6
label 2723, frequency 157
label 2724, frequency 465
label 2727, frequency 38
label 2732, frequency 24
label 2733, frequency 11
label 2734, frequency 8
label 2738, frequency 9
label 2744, frequency 25
label 2745, frequency 6
label 2751, frequency 4
label 2755, frequency 5
label 2756, frequency 6
label 2760, frequency 82
label 2766, frequency 25
label 2772, frequency 11
label 2777, frequency 9
label 2779, frequency 33
label 2781, frequency 12
label 2783, frequency 11
label 2785, frequency 236
label 2788, frequency 54
label 2790, frequency 8
label 2791, frequency 19
label 2796, frequency 12
label 2799, frequency 3
label 2802, frequency 138
label 2803, frequency 24
label 2806, frequency 25
label 2808, frequency 21
label 2809, frequency 34
label 2810, frequency 290
label 2811, frequency 97
label 2815, frequency 305
label 2826, frequency 71
label 2832, frequency 3
label 2835, frequency 14
label 2841, frequency 37
label 2846, frequency 5
label 2848, frequency 50
label 2850, frequency 158
label 2853, frequency 3
label 2855, frequency 4
